5_euc_clones_dbpm,5_cos_clones_dbpm,3_euc_clones_dbpm,2_pear_clones_dbpm,1_euc_clones_dbpm,4_cos_clones_dbpm,def_arch,4_euc_clones_dbpm,5_pear_clones_dbpm,opp ptspaint_def,3_cos_clones_dbpm,stl%_def,5_seas_past_dbpm_playoffs,avg drebdistance_reb,opp ptsoff tov_def,3_pear_clones_dbpm,2_euc_clones_dbpm,defws_def,4_seas_past_dbpm_playoffs,1_seas_past_dbpm_playoffs,contesteddreb_reb,2_cos_clones_dbpm,dreb_def,pf_misc,bpm_regseas,6_yr_rolling_avg_dbpm_playoffs,dbpm_bpm,pie_defadv,Unnamed: 0,def rtg_def,gp,%dreb_def,drebchances_reb,drebchance%_reb,4_yr_rolling_avg_dbpm_playoffs,stl_def,dfg%_imp,dist. miles def_speed,poss_defadv,blka_misc,2_seas_past_dbpm_playoffs,4_pear_clones_dbpm,3_yr_rolling_avg_dbpm_playoffs,dreb_reb,dreb%_def,5_yr_rolling_avg_dbpm_playoffs,blk_def,dfga_imp,contesteddreb%_reb,opp ptsfb_def,%blk_def,1_pear_clones_dbpm,1_cos_clones_dbpm,3_seas_past_dbpm_playoffs,min,dfgm_imp,adjusteddreb chance%_reb,opp pts2nd chance_def,2_yr_rolling_avg_dbpm_playoffs,vorp_regseas,player,season,dbpm_playoffs
-0.6599999999999999,1.0399999999999998,-0.7666666666666666,1.2999999999999998,-2.5,0.925,1,-0.8999999999999999,0.6799999999999999,40.8,0.6333333333333332,22.8,-1.1,10.3,16.2,0.6333333333333332,-1.45,0.173,-1.1,-1.1,0.3,1.2999999999999998,3.6,5.1,-0.8,-1.1,-1.1,9.2,0,102.1,82,10.3,3.8,49.3,-1.1,1.5,69.3,0.71,3715,1.4,-1.1,0.925,-1.1,1.9,6.8,-1.1,0.4,0.9,14.9,12.4,7.5,1.9,1.9,-1.1,23.0,0.6,53.0,13.9,-1.1,0.5,Aaron Brooks,2015,-2.2
0.6799999999999999,0.38,0.5333333333333333,0.15,0.8,0.4,7,0.775,0.38,47.9,0.4333333333333333,16.0,0.3,6.3,14.9,0.4333333333333333,0.65,0.181,0.3,0.3,1.3,0.15,8.2,3.2,0.6,0.3,0.3,10.9,1,105.9,76,22.8,8.2,70.8,0.3,1.0,64.2,1.12,5456,1.0,0.3,0.4,0.3,5.8,16.5,0.3,1.0,3.0,23.0,11.6,19.6,-0.6,-0.6,0.3,33.8,1.9,76.0,10.6,0.3,1.7,Aaron Gordon,2019,1.8
-0.8200000000000001,1.9800000000000004,-1.5666666666666669,0.6,-2.7,2.0250000000000004,2,-1.175,1.98,46.9,0.9,15.2,-0.1,6.3,16.1,0.9,-2.1,0.146,-0.1,-0.1,1.0,0.85,7.2,3.1,0.1,1.8,-0.1,9.5,2,110.4,50,20.7,5.8,71.6,1.8,1.2,59.3,0.89,2868,1.0,1.8,1.125,1.8,4.1,15.0,1.8,1.2,2.4,23.2,13.1,28.6,1.0,0.2,-0.1,27.7,1.4,78.1,11.9,1.8,0.7,Aaron Gordon,2021,-1.8
-0.8400000000000001,2.46,-1.6333333333333335,1.6,-1.8,1.725,0,-1.5,1.98,51.9,1.5,13.6,-1.5,6.2,17.4,1.366666666666667,-2.25,0.13,-1.5,-1.8,1.1,1.2,6.4,3.0,-0.6,0.0,-1.1,9.6,3,111.1,75,17.8,5.9,71.9,0.0,0.9,59.7,1.04,4908,1.1,-1.5,1.775,0.0,4.2,12.9,0.0,0.9,2.8,25.2,12.4,25.4,1.5,1.5,1.8,31.7,1.7,75.3,11.1,0.0,0.9,Aaron Gordon,2022,-2.2
-1.28,1.08,-2.2333333333333334,0.9,-2.2,1.125,3,-1.8,1.6200000000000003,52.5,0.9,16.0,-1.0,6.0,15.9,0.9,-2.45,0.17,1.8,-2.2,1.1,0.9,6.6,3.0,2.1,-0.7333333333333334,-0.3,11.2,4,110.9,68,19.7,6.5,64.7,-0.7333333333333334,1.3,60.6,1.02,4288,1.5,-1.8,1.5750000000000002,-0.7333333333333334,4.2,13.6,-0.7333333333333334,1.2,3.1,25.2,13.6,27.3,0.3,0.3,-1.0,30.2,1.9,68.8,12.7,-2.0,2.1,Aaron Gordon,2023,-0.6
0.78,0.0599999999999999,0.8333333333333334,-0.65,0.0,-0.025,4,0.775,-0.08,46.5,-0.2,22.8,0.0,9.8,14.0,-0.5333333333333333,0.85,0.1669999999999999,0.0,0.0,0.2,0.2499999999999999,3.9,3.5,-1.6,0.0,0.0,7.8,5,106.9,66,11.5,4.2,56.5,0.0,1.6,70.2,0.87,3398,0.8,0.0,-0.225,0.0,2.4,7.7,0.0,0.5,2.1,9.7,14.0,9.0,-1.1,0.7,0.0,24.5,1.5,61.5,13.8,0.0,0.2,Aaron Holiday,2020,1.4
-1.14,2.6000000000000005,-1.6333333333333335,2.75,-2.1,2.7750000000000004,2,-1.5,1.96,44.1,2.733333333333334,16.5,-0.4,6.2,18.1,1.8333333333333333,-1.95,0.163,-0.4,-0.4,0.7,3.7,7.0,6.2,-3.2,-0.4,-0.4,6.0,6,109.1,46,20.8,4.4,63.9,-0.4,1.1,71.2,0.54,1409,0.9,-0.4,1.65,-0.4,2.8,14.6,-0.4,0.6,1.3,26.3,11.2,10.5,4.2,4.2,-0.4,14.5,0.9,68.3,11.9,-0.4,-0.2,Aaron Nesmith,2021,-2.1
1.16,-0.04,0.9,-0.95,1.6,0.0749999999999999,1,1.15,-0.56,42.6,-0.3,25.6,0.7,5.3,18.3,-0.9666666666666668,0.65,0.233,0.7,-2.1,0.5,0.0499999999999999,6.2,5.9,-4.3,-2.1,0.7,4.8,7,104.3,52,16.9,4.1,56.9,-2.1,1.7,58.6,0.4,1196,0.2,0.7,-0.65,-2.1,2.3,11.7,-2.1,0.4,1.1,20.3,12.0,10.0,-0.5,0.3,0.7,11.0,0.7,64.9,13.6,-2.1,-0.3,Aaron Nesmith,2022,2.7
0.82,0.4800000000000001,1.1666666666666667,0.6000000000000001,-0.4,-0.0749999999999999,1,0.55,-0.1199999999999999,45.5,0.1666666666666667,18.9,-1.0,7.3,19.7,0.1666666666666667,1.45,0.1889999999999999,-1.0,-1.0,0.5,0.05,6.4,7.1,-4.2,-1.0,-1.0,6.1,8,102.1,33,21.0,4.0,54.8,-1.0,1.4,74.5,0.47,1012,1.0,-1.0,-0.0749999999999999,-1.0,2.2,13.8,-1.0,0.0,1.4,23.8,13.7,0.0,0.8,0.8,-1.0,15.1,1.1,60.0,14.6,-1.0,-0.3,Al Harrington,2014,1.4
0.72,-1.44,0.8333333333333334,-2.0,-0.8,-1.525,9,0.75,-1.44,42.4,-2.2,15.7,1.5,5.7,16.2,-1.1666666666666667,0.5499999999999999,0.1939999999999999,1.5,1.5,2.3,-3.85,8.9,2.6,4.1,1.5,1.5,14.5,9,100.8,76,26.5,9.3,58.4,1.5,1.5,55.3,0.97,4627,0.8,1.5,-0.6,1.5,5.4,17.3,1.5,2.1,4.3,42.9,11.6,43.6,-2.9,-2.9,1.5,30.5,2.4,63.2,15.1,1.5,3.6,Al Horford,2015,1.6
