obpm_bpm,4_seas_past_obpm_playoffs,5_seas_past_obpm_playoffs,5_euc_clones_obpm,3_euc_clones_obpm,vorp_regseas,5_cos_clones_obpm,4_euc_clones_obpm,pie_adv,2_euc_clones_obpm,4_cos_clones_obpm,1_pear_clones_obpm,5_pear_clones_obpm,3_seas_past_obpm_playoffs,3_yr_rolling_avg_obpm_playoffs,4_pear_clones_obpm,3_cos_clones_obpm,pass%_drives,fg%_drives,1_euc_clones_obpm,1_seas_past_obpm_playoffs,2_yr_rolling_avg_obpm_playoffs,painttouch pts_shooting_eff,3_pear_clones_obpm,1_cos_clones_obpm,pts%_drives,+/-_trad,avg speed off_speed,3pa_trad,tov%_drives,pull upfg%_shooting_eff,ft%_drives,3pm_trad,fgm_trad,tov_trad,3p%_catch&shoot,mr_fg%_shootingzone,2_pear_clones_obpm,oreb_oreb,ftm_trad,2_cos_clones_obpm,poss_adv,fgm%ast_scoring,to ratio_adv,fga_trad,ftm_drives,3fgm%ast_scoring,ast/to_adv,fg%_pullup,pf%_drives,season,obpm_playoffs,2_yr_roll_obpm_bpm,2_yr_roll_pie_adv,2_yr_roll_vorp_regseas,3_yr_roll_obpm_bpm,3_yr_roll_pie_adv,3_yr_roll_vorp_regseas,4_yr_roll_obpm_bpm,4_yr_roll_pie_adv,4_yr_roll_vorp_regseas,5_yr_roll_obpm_bpm,5_yr_roll_pie_adv,5_yr_roll_vorp_regseas,player
0.3,0.3,0.3,-1.1,-0.0666666666666667,0.5,2.28,-1.25,9.2,-1.05,2.675,-0.4,2.28,0.3,0.3,2.675,2.0666666666666664,36.2,46.5,-2.0,0.3,0.3,0.1,2.0666666666666664,-0.4,46.8,5.6,4.48,8.4,6.9,38.6,82.9,3.3,9.3,4.2,42.1,36.8,1.85,0.4,3.9,1.85,3715,29.7,12.0,22.0,0.8,61.2,1.66,39.1,4.7,2015,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Brooks
0.3,0.3,0.3,0.78,1.0,1.7,-3.02,0.475,10.9,1.4,-3.35,-10.2,-4.02,0.3,0.3,-4.8,-4.166666666666666,34.3,42.9,1.1,0.3,0.3,3.9,-4.566666666666666,-10.2,52.1,2.0,4.75,6.4,10.3,36.2,70.7,2.2,8.6,3.0,36.5,33.0,-7.5,1.7,3.4,-6.9,5456,59.1,10.1,19.2,0.8,84.3,1.78,36.2,8.6,2019,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Gordon
0.2,0.2,0.2,-0.6,-1.0,0.7,-1.34,-0.4,9.5,-0.0999999999999999,-0.8500000000000001,-2.7,-0.72,0.2,1.7,-0.85,-1.2333333333333334,36.4,43.3,1.7,0.2,1.7,3.6,-1.2333333333333332,-1.9,44.7,2.1,4.4,6.1,8.3,32.3,61.5,2.1,8.1,3.4,37.6,32.4,-2.3,1.5,3.4,-0.4999999999999999,2868,58.0,11.8,17.4,0.5,83.1,1.66,32.3,8.8,2021,-2.2,0.3,10.9,1.7,0.3,10.9,1.7,0.3,10.9,1.7,0.3,10.9,1.7,Aaron Gordon
0.5,0.4,0.4,-0.1399999999999999,-0.3666666666666667,0.9,-4.279999999999999,-0.625,9.6,-0.2500000000000001,-4.875,-1.9,-1.7999999999999996,1.7,-0.2500000000000001,-2.475,-4.733333333333333,32.8,53.0,1.7,-2.2,-0.2500000000000001,5.5,-1.433333333333333,-6.1,64.1,6.5,4.19,5.3,8.9,37.0,80.0,1.8,8.8,2.7,36.0,37.6,-3.1,1.7,3.5,-6.85,4908,67.3,10.6,17.0,0.4,85.1,1.41,36.9,7.7,2022,0.9,0.25,10.2,1.2,0.25,10.2,1.2,0.25,10.2,1.2,0.25,10.2,1.2,Aaron Gordon
2.4,1.7,2.5,-0.02,0.6666666666666666,2.1,-0.7,-0.05,11.2,-0.2499999999999999,-0.7,0.6,-1.02,2.5,0.1333333333333332,-0.85,-2.833333333333333,26.8,55.7,0.9,0.9,-0.6500000000000001,7.9,-0.0999999999999999,-1.7,72.8,12.1,4.22,4.0,7.0,35.1,54.5,1.4,10.0,2.3,31.7,24.6,0.1999999999999999,2.4,4.5,-3.2,4288,64.6,8.2,17.7,0.6,73.3,2.07,35.1,16.7,2023,0.4,0.35,9.55,0.8,0.3333333333333333,10.0,1.0999999999999999,0.3333333333333333,10.0,1.0999999999999999,0.3333333333333333,10.0,1.0999999999999999,Aaron Gordon
-1.6,-1.6,-1.6,-1.7799999999999998,-1.7,0.2,1.44,-1.925,7.8,-1.2999999999999998,1.5749999999999995,4.1,1.44,-1.6,-1.6,2.025,2.4,47.6,44.8,-0.7,-1.6,-1.6,0.2,2.0,4.1,44.2,3.3,4.42,6.5,4.0,35.9,87.5,2.6,6.9,2.6,42.2,34.0,2.55,0.4,2.2,2.55,3398,49.4,9.6,16.6,0.4,83.9,2.56,35.9,3.2,2020,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Holiday
-2.8,-2.8,-2.8,-1.52,-1.7333333333333334,-0.2,7.7,-1.9,6.0,-1.1,7.1,7.4,7.7,-2.8,-2.8,7.1,7.5,41.1,42.9,-3.0,-2.8,-2.8,0.7,7.5,7.4,45.2,-0.5,4.53,7.7,8.2,35.5,66.7,2.8,5.5,1.6,39.8,50.0,7.4,0.8,1.6,7.4,1409,73.1,9.7,12.6,0.2,100.0,1.0,35.5,8.2,2021,-4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Nesmith
-4.9,-4.9,-4.9,-2.6,-2.6666666666666665,-0.3,2.6000000000000005,-2.5,4.8,-4.25,2.4000000000000004,2.7,4.94,-4.9,-4.9,5.225,4.133333333333334,34.3,55.2,-3.6,-4.9,-4.9,0.3,4.433333333333334,2.7,60.0,1.8,4.58,9.6,12.9,32.3,100.0,2.6,6.0,2.6,28.6,50.0,3.05,0.5,1.8,5.15,1196,86.1,12.7,15.2,0.1,93.5,0.71,33.3,4.3,2022,-4.5,-2.8,6.0,-0.2,-2.8,6.0,-0.2,-2.8,6.0,-0.2,-2.8,6.0,-0.2,Aaron Nesmith
-3.2,-3.2,-3.2,-2.6799999999999997,-5.366666666666666,-0.3,5.739999999999999,-3.8,6.1,-6.85,6.324999999999999,6.4,2.72,-3.2,-3.2,2.325,6.4,24.7,40.0,-5.9,-3.2,-3.2,0.9,3.033333333333333,6.4,58.4,4.5,4.19,9.9,5.6,12.5,88.9,3.4,8.1,3.4,34.8,28.6,2.5,0.5,2.7,5.35,1012,79.3,12.0,20.5,0.5,100.0,0.82,12.5,10.1,2014,-8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Harrington
2.6,2.6,2.6,1.42,1.1666666666666667,3.6,-1.0,1.5,14.5,1.55,-0.6749999999999999,-2.8,-0.3999999999999999,2.6,2.6,-0.95,-0.0999999999999999,31.5,56.7,0.2,2.6,2.6,4.8,-1.0333333333333332,-2.8,68.5,6.2,4.29,0.8,2.8,40.0,84.6,0.2,11.2,2.2,29.0,48.4,-1.2999999999999998,1.7,2.3,-0.4999999999999999,4627,79.2,7.3,20.9,0.3,90.9,2.44,40.5,9.1,2015,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Horford
